Location,Date,Year,Plant_Date,Days_After_Planting,County,LocMinTempC,LocMaxTempC,LocMinTempF,LocMaxTempF,PRISMMinTempC,PRISMMaxTempC,PRISMMinTempF,PRISMMaxTempF,CIMIS,StatMinTempC,StatMaxTempC,StatMinTempF,StatMaxTempF,MINDif_OUT,MAXDif_OUT,HeadM105,HeadM206,HeadM209,HeadM210,HeadM211,HeadM401,HeadM105_DaysToHeading,HeadM206_DaysToHeading,HeadM209_DaysToHeading,HeadM210_DaysToHeading,HeadM211_DaysToHeading,HeadM401_DaysToHeading
BosworthRue,2016-07-25,2016,2016-05-16,70,Yuba,17.166666666666668,35.72222222222222,62.9,96.3,17.97699928333333,39.18399811111111,64.35859871,102.5311966,Verona235,14.555555555555555,35.5,58.2,95.9,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,84,86,92,86,91,NA
BosworthRue,2016-07-26,2016,2016-05-16,71,Yuba,16.5,37.333333333333336,61.7,99.2,17.11499977222222,37.36299896111111,62.80699959,99.25339813,Verona235,12.388888888888888,38.27777777777778,54.3,100.9,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,84,86,92,86,91,NA
BosworthRue,2016-07-27,2016,2016-05-16,72,Yuba,18.055555555555557,38.166666666666664,64.5,100.7,17.302000044444444,39.51699827777778,63.14360008,103.1305969,Verona235,16.333333333333332,38.5,61.4,101.3,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,84,86,92,86,91,NA
BosworthRue,2016-07-28,2016,2016-05-16,73,Yuba,18.666666666666664,36.94444444444444,65.6,98.5,19.499000549999998,40.06700133333333,67.09820099,104.1206024,Verona235,14.722222222222221,36.72222222222222,58.5,98.1,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,84,86,92,86,91,NA
BosworthRue,2016-07-29,2016,2016-05-16,74,Yuba,19.111111111111114,36.72222222222222,66.4,98.1,19.756999972222225,39.056999222222224,67.56259995,102.3025986,Verona235,14.61111111111111,35.94444444444444,58.3,96.7,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,84,86,92,86,91,NA
BosworthRue,2016-07-30,2016,2016-05-16,75,Yuba,19.166666666666668,33.55555555555556,66.5,92.4,20.094999311111113,39.423000333333334,68.17099876,102.9614006,Verona235,15.88888888888889,35.27777777777778,60.6,95.5,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,84,86,92,86,91,NA
BosworthRue,2016-07-31,2016,2016-05-16,76,Yuba,16.944444444444443,31.11111111111111,62.5,88,19.84900093333333,39.18999861111111,67.72820168,102.5419975,Verona235,14.444444444444445,32.833333333333336,58,91.1,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,84,86,92,86,91,NA
BosworthRue,2016-08-01,2016,2016-05-16,77,Yuba,15.333333333333334,30.444444444444443,59.6,86.8,17.02599906666667,35.30400085555556,62.64679832,95.54720154,Verona235,13.11111111111111,32,55.6,89.6,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,84,86,92,86,91,NA
BosworthRue,2016-08-02,2016,2016-05-16,78,Yuba,14.5,33.27777777777778,58.1,91.9,14.826000211111111,34.20800018333333,58.68680038,93.57440033,Verona235,10.444444444444443,33.22222222222222,50.8,91.8,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,84,86,92,86,91,NA
BosworthRue,2016-08-03,2016,2016-05-16,79,Yuba,16.555555555555557,34.5,61.8,94.1,13.940999983333333,34.842998505555556,57.09379997,94.71739731,Verona235,12.833333333333334,35.77777777777778,55.1,96.4,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,84,86,92,86,91,NA
