Variety,Location,Year,DaysToHeading,T_l,T_opt,Local_Cumulative_GDD,PRISM_Cumulative_GDD,Stat_Cumulative_GDD
HeadM211_DaysToHeading,LarrabeeSheppard,2016,93,20,40,102.32,38.736499788888885,0
HeadM211_DaysToHeading,LarrabeeSheppard,2017,84,20,40,245.1038888888889,288.9475021361111,192.80555555555554
HeadM211_DaysToHeading,LarrabeeSheppard,2018,86,20,40,69.08055555555555,309.3915033638889,55.61111111111111
HeadM211_DaysToHeading,LarrabeeSheppard,2019,98,20,40,121.91083333333334,17.984000208333327,34.08333333333333
HeadM211_DaysToHeading,LarrabeeSheppard,2020,94,20,40,107.26305555555555,59.474500655555545,40.47222222222222
HeadM211_DaysToHeading,LarrabeeSheppard,2021,95,20,40,128.5886111111111,58.79709719444444,105.19444444444443
HeadM211_DaysToHeading,LarrabeeSheppard,2022,97,20,40,53.39027777777778,18.79374980833333,52.66666666666666
HeadM211_DaysToHeading,LarrabeeSheppard,2023,87,20,40,143.13888888888889,78.20020008611111,19.5
HeadM211_DaysToHeading,LarrabeeSheppard,2024,86,20,40,313.5872222222222,257.5615434611111,152.69444444444443
HeadM211_DaysToHeading,Lauppe,2017,81,20,40,190.1611111111111,117.97250079999999,41.33333333333333
HeadM211_DaysToHeading,Lauppe,2018,88,20,40,17.959444444444443,0,18.38888888888889
HeadM211_DaysToHeading,Lauppe,2019,92,20,40,59.6975,0,0
HeadM211_DaysToHeading,Lauppe,2020,88,20,40,74.52888888888889,0,0
HeadM211_DaysToHeading,Lauppe,2021,96,20,40,19.806666666666665,0,0
HeadM211_DaysToHeading,Lauppe,2022,97,20,40,17.775555555555556,0,38.41666666666667
HeadM211_DaysToHeading,Lauppe,2023,91,20,40,36.49944444444445,75.35439873611111,34.388888888888886
HeadM211_DaysToHeading,Lauppe,2024,85,20,40,170.83666666666667,102.87164687222223,59.496594216666665
HeadM211_DaysToHeading,Rehmann,2017,96,20,40,76.23972222222221,114.66099931666666,114.34000015277778
HeadM211_DaysToHeading,Rehmann,2018,98,20,40,0,0,18.583333333333336
HeadM211_DaysToHeading,Rehmann,2019,103,20,40,0,0,0
HeadM211_DaysToHeading,Rehmann,2021,93,20,40,0,0,0
HeadM211_DaysToHeading,Schohr,2016,91,20,40,140.56472222222223,56.91899872222223,56.72222222222223
HeadM211_DaysToHeading,Schohr,2017,87,20,40,250.67305555555555,292.9480018722222,601.119833311111
HeadM211_DaysToHeading,Schohr,2018,88,20,40,90.61777777777777,450.4780025361111,487.0973887972222
HeadM211_DaysToHeading,Schohr,2019,93,20,40,90.61777777777777,17.84549903888889,54.63888888888889
HeadM211_DaysToHeading,Schohr,2020,95,20,40,92.70555555555555,59.53449917500001,97.19444444444444
HeadM211_DaysToHeading,Schohr,2021,101,20,40,38.638888888888886,58.042248722222226,38.638888888888886
HeadM211_DaysToHeading,Schohr,2022,104,20,40,16.051111111111112,36.51074886111111,36.416666666666664
HeadM211_DaysToHeading,Schohr,2023,91,20,40,145.17777777777778,59.56669809722223,96.36111111111111
HeadM211_DaysToHeading,Schohr,2024,91,20,40,262.83444444444444,256.1990919583334,257.52777777777777
HeadM211_DaysToHeading,Wylie,2016,94,20,40,51.17111111111112,20.19200038888889,56.72222222222223
HeadM211_DaysToHeading,Wylie,2017,89,20,40,210.82861111111112,290.2075013888889,252.5356115777778
HeadM211_DaysToHeading,Wylie,2018,90,20,40,84.9225,41.21850014166667,73.02777777777779
HeadM211_DaysToHeading,Wylie,2019,97,20,40,88.55194444444444,57.46749878055556,129.38888888888889
HeadM211_DaysToHeading,Wylie,2020,95,20,40,89.89083333333332,59.20999908333334,124.61111111111111
HeadM211_DaysToHeading,Wylie,2021,95,20,40,109.60527777777777,60.87584780833334,39.833333333333336
HeadM211_DaysToHeading,Wylie,2022,99,20,40,35.62555555555555,79.94189738611112,59.22222222222222
HeadM211_DaysToHeading,Wylie,2023,88,20,40,86.61472222222223,141.81834508055556,92.05555555555556
HeadM401_DaysToHeading,Canal,2024,112,10,25,1219.523888888889,1136.8183255083334,1190.25
